Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Involvement,Race,Sex,Age,Fire Arm Used Flag,Location,Age_Range
KC24085650,11/16/2024,00:06,11/16/2024,00:06,11/16/2024,00:09,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,332,3300  BALES AVE,KANSAS CITY,64128,PJ2741,EPD,true,VIC,B,F,39,true,POINT (-94.54278 39.06582),35-44
KC24085650,11/16/2024,00:06,11/16/2024,00:06,11/16/2024,00:09,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,332,3300  BALES AVE,KANSAS CITY,64128,PJ2741,EPD,true,SUS,B,M,41,true,POINT (-94.54278 39.06582),35-44
KC24085528,11/15/2024,20:40,11/12/2024,20:40,,,Robbery (Armed Street),120,Robbery,323,2600  E 18TH ST,KANSAS CITY,64127,PJ1606,EPD,false,SUS,B,M,,true,POINT (-94.55165 39.09082),
KC24085528,11/15/2024,20:40,11/12/2024,20:40,,,Robbery (Armed Street),120,Robbery,323,2600  E 18TH ST,KANSAS CITY,64127,PJ1606,EPD,false,VIC,B,M,39,true,POINT (-94.55165 39.09082),35-44
KC24085400,11/15/2024,00:06,11/15/2024,00:06,,,Assault (Aggravated),13A,Aggravated Assault,321,1300  MONROE AVE,KANSAS CITY,64127,PJ1261,EPD,false,VIC,W,F,64,true,POINT (-94.53883 39.09693),55-64
KC24085400,11/15/2024,00:06,11/15/2024,00:06,,,Assault (Aggravated),13A,Aggravated Assault,321,1300  MONROE AVE,KANSAS CITY,64127,PJ1261,EPD,false,SUS,U,U,,true,POINT (-94.53883 39.09693),
KC24085400,11/15/2024,00:06,11/15/2024,00:06,,,Assault (Aggravated),13A,Aggravated Assault,321,1300  MONROE AVE,KANSAS CITY,64127,PJ1261,EPD,false,VIC,W,M,62,true,POINT (-94.53883 39.09693),55-64
KC24085384,11/14/2024,22:16,11/14/2024,22:16,11/14/2024,22:30,Assault (Aggravated),13A,Aggravated Assault,341,1700  BELLAIRE AVE,KANSAS CITY,64126,PJ1791,EPD,false,VIC,B,F,32,true,POINT (-94.51378 39.09017),25-34
KC24085384,11/14/2024,22:16,11/14/2024,22:16,11/14/2024,22:30,Assault (Aggravated),13A,Aggravated Assault,341,1700  BELLAIRE AVE,KANSAS CITY,64126,PJ1791,EPD,false,VIC,B,F,50,true,POINT (-94.51378 39.09017),45-54
KC24085384,11/14/2024,22:16,11/14/2024,22:16,11/14/2024,22:30,Assault (Aggravated),13A,Aggravated Assault,341,1700  BELLAIRE AVE,KANSAS CITY,64126,PJ1791,EPD,false,SUS,W,M,,true,POINT (-94.51378 39.09017),
KC24085334,11/14/2024,17:55,11/14/2024,17:55,,,Eluding / Resisting a Lawful Stop,90Z,All Other Offenses,122,E 10TH ST and GARFIELD AVE,KANSAS CITY,64127,PJ0909,CPD,false,ARR CHA INA SUS VDR,B,M,18,true,POINT (-94.55708 39.10145),18-24
KC24085277,11/14/2024,12:48,11/14/2024,12:48,,,Murder,09A,Murder,131,300  E LINWOOD BLVD,KANSAS CITY,64111,PJ2540,CPD,false,ARR SUS CHA,B,M,28,true,POINT (-94.58101 39.0685),25-34
KC24085277,11/14/2024,12:48,11/14/2024,12:48,,,Murder,09A,Murder,131,300  E LINWOOD BLVD,KANSAS CITY,64111,PJ2540,CPD,false,ARR CHA SUS,B,F,24,true,POINT (-94.58101 39.0685),18-24
KC24085277,11/14/2024,12:48,11/14/2024,12:48,,,Murder,09A,Murder,131,300  E LINWOOD BLVD,KANSAS CITY,64111,PJ2540,CPD,false,VIC DEC,W,M,34,true,POINT (-94.58101 39.0685),25-34
KC24085157,11/13/2024,22:51,11/13/2024,22:51,,,Assault (Aggravated),13A,Aggravated Assault,322,2000  BRIGHTON AVE,KANSAS CITY,64127,PJ1799,EPD,false,SUS,B,M,35,true,POINT (-94.52434 39.08692),35-44
KC24085157,11/13/2024,22:51,11/13/2024,22:51,,,Assault (Aggravated),13A,Aggravated Assault,322,2000  BRIGHTON AVE,KANSAS CITY,64127,PJ1799,EPD,false,VIC,W,M,28,true,POINT (-94.52434 39.08692),25-34
KC24085159,11/13/2024,22:30,11/13/2024,22:30,,,Assault (Aggravated),13A,Aggravated Assault,213,8500  BLUE PKWY,KANSAS CITY,64133,PJ5085,MPD,false,SUS,B,M,37,true,POINT (-94.48447 39.00591),35-44
KC24085159,11/13/2024,22:30,11/13/2024,22:30,,,Assault (Aggravated),13A,Aggravated Assault,213,8500  BLUE PKWY,KANSAS CITY,64133,PJ5085,MPD,false,VIC,W,M,63,true,POINT (-94.48447 39.00591),55-64
KC24085159,11/13/2024,22:30,11/13/2024,22:30,,,Assault (Aggravated),13A,Aggravated Assault,213,8500  BLUE PKWY,KANSAS CITY,64133,PJ5085,MPD,false,VIC,W,F,44,true,POINT (-94.48447 39.00591),35-44
KC24085159,11/13/2024,22:30,11/13/2024,22:30,,,Assault (Aggravated),13A,Aggravated Assault,213,8500  BLUE PKWY,KANSAS CITY,64133,PJ5085,MPD,false,VIC,W,M,43,true,POINT (-94.48447 39.00591),35-44
KC24085139,11/13/2024,20:47,11/13/2024,20:47,,,Robbery (Armed Street),120,Robbery,315,5400  SCARRITT AVE,KANSAS CITY,64123,PJ0241,EPD,false,SUS,B,M,,true,POINT (-94.5184 39.11426),
KC24085139,11/13/2024,20:47,11/13/2024,20:47,,,Robbery (Armed Street),120,Robbery,315,5400  SCARRITT AVE,KANSAS CITY,64123,PJ0241,EPD,false,VIC,B,M,,true,POINT (-94.5184 39.11426),
KC24085122,11/13/2024,18:28,11/13/2024,18:28,,,Murder,13A,Aggravated Assault,243,7500  E 85TH TER,KANSAS CITY,64138,PJ6158,MPD,false,SUS,B,M,,true,POINT (-94.49943 38.96894),
KC24085122,11/13/2024,18:28,11/13/2024,18:28,,,Murder,13A,Aggravated Assault,243,7500  E 85TH TER,KANSAS CITY,64138,PJ6158,MPD,false,VIC DEC,B,M,,true,POINT (-94.49943 38.96894),
KC24084939,11/13/2024,04:34,11/13/2024,04:34,,,Robbery (Armed Street),120,Robbery,314,5300  INDEPENDENCE AVE,KANSAS CITY,64124,PJ0737,EPD,false,VIC,W,M,20,true,POINT (-94.52027 39.10527),18-24
KC24084939,11/13/2024,04:34,11/13/2024,04:34,,,Robbery (Armed Street),120,Robbery,314,5300  INDEPENDENCE AVE,KANSAS CITY,64124,PJ0737,EPD,false,ARR CHA INA SUS,W,M,27,true,POINT (-94.52027 39.10527),25-34
KC24084916,11/12/2024,23:00,11/12/2024,23:00,,,Robbery (Armed Street),13A,Aggravated Assault,133,4100  BROADWAY,KANSAS CITY,,,CPD,false,SUS,B,M,,true,POINT (-94.59053 39.05325),
KC24084916,11/12/2024,23:00,11/12/2024,23:00,,,Robbery (Armed Street),13A,Aggravated Assault,133,4100  BROADWAY,KANSAS CITY,,,CPD,false,VIC A01,,,,true,POINT (-94.59053 39.05325),
KC24084916,11/12/2024,23:00,11/12/2024,23:00,,,Robbery (Armed Street),13A,Aggravated Assault,133,4100  BROADWAY,KANSAS CITY,,,CPD,false,CMP VIC,B,F,31,true,POINT (-94.59053 39.05325),25-34
KC24084877,11/12/2024,18:51,11/12/2024,18:51,,,Robbery (Residential),120,Robbery,334,4400  BALES AVE,KANSAS CITY,,,EPD,false,CMP VIC,W,M,54,true,POINT (-94.54367 39.04589),45-54
KC24084877,11/12/2024,18:51,11/12/2024,18:51,,,Robbery (Residential),120,Robbery,334,4400  BALES AVE,KANSAS CITY,,,EPD,false,SUS,U,M,,true,POINT (-94.54367 39.04589),
KC24084857,11/12/2024,17:15,11/12/2024,17:15,,,Robbery (Armed Street),120,Robbery,121,INDEPENDENCE AVE and OLIVE ST,KANSAS CITY,64124,,CPD,false,SUS,B,M,,true,POINT (-94.55372 39.10642),
KC24084857,11/12/2024,17:15,11/12/2024,17:15,,,Robbery (Armed Street),120,Robbery,121,INDEPENDENCE AVE and OLIVE ST,KANSAS CITY,64124,,CPD,false,CMP VIC,B,M,67,true,POINT (-94.55372 39.10642),65-74
KC24084714,11/12/2024,09:34,11/12/2024,09:34,,,Robbery (Residential),120,Robbery,643,8500  N CRYSTAL AVE,KANSAS CITY,64157,PC0278,SCP,false,SUS,U,M,,true,POINT (-94.4937 39.24671),
KC24084714,11/12/2024,09:34,11/12/2024,09:34,,,Robbery (Residential),120,Robbery,643,8500  N CRYSTAL AVE,KANSAS CITY,64157,PC0278,SCP,false,VIC,,M,40,true,POINT (-94.4937 39.24671),35-44
KC24084667,11/12/2024,01:07,11/12/2024,01:07,,,Robbery (Armed Street),120,Robbery,321,2800  E 10TH ST,KANSAS CITY,64127,PJ0924,EPD,false,VIC,W,M,24,true,POINT (-94.54896 39.10147),18-24
KC24084667,11/12/2024,01:07,11/12/2024,01:07,,,Robbery (Armed Street),120,Robbery,321,2800  E 10TH ST,KANSAS CITY,64127,PJ0924,EPD,false,SUS,B,M,,true,POINT (-94.54896 39.10147),
KC24084667,11/12/2024,01:07,11/12/2024,01:07,,,Robbery (Armed Street),120,Robbery,321,2800  E 10TH ST,KANSAS CITY,64127,PJ0924,EPD,false,SUS,B,F,,true,POINT (-94.54896 39.10147),
KC24084665,11/12/2024,00:29,11/12/2024,00:29,,,Assault (Aggravated),13A,Aggravated Assault,134,4400  WORNALL RD,KANSAS CITY,64111,PJ3475,CPD,false,VIC,B,M,18,true,POINT (-94.59015 39.04666),18-24
KC24084666,11/12/2024,00:22,11/12/2024,00:22,,,Assault (Aggravated),13A,Aggravated Assault,323,E 18TH ST and BENTON BLVD,KANSAS CITY,64127,PJ1530,EPD,false,VIC,B,F,,true,POINT (-94.54963 39.09075),
KC24084666,11/12/2024,00:22,11/12/2024,00:22,,,Assault (Aggravated),13A,Aggravated Assault,323,E 18TH ST and BENTON BLVD,KANSAS CITY,64127,PJ1530,EPD,false,VIC,B,M,18,true,POINT (-94.54963 39.09075),18-24
KC24084666,11/12/2024,00:22,11/12/2024,00:22,,,Assault (Aggravated),13A,Aggravated Assault,323,E 18TH ST and BENTON BLVD,KANSAS CITY,64127,PJ1530,EPD,false,VIC,B,M,18,true,POINT (-94.54963 39.09075),18-24
KC24084666,11/12/2024,00:22,11/12/2024,00:22,,,Assault (Aggravated),13A,Aggravated Assault,323,E 18TH ST and BENTON BLVD,KANSAS CITY,64127,PJ1530,EPD,false,SUS,B,M,18,true,POINT (-94.54963 39.09075),18-24
KC24084666,11/12/2024,00:22,11/12/2024,00:22,,,Assault (Aggravated),13A,Aggravated Assault,323,E 18TH ST and BENTON BLVD,KANSAS CITY,64127,PJ1530,EPD,false,VIC,B,F,39,true,POINT (-94.54963 39.09075),35-44
KC24084666,11/12/2024,00:22,11/12/2024,00:22,,,Assault (Aggravated),13A,Aggravated Assault,323,E 18TH ST and BENTON BLVD,KANSAS CITY,64127,PJ1530,EPD,false,VIC,B,M,,true,POINT (-94.54963 39.09075),
KC24084630,11/11/2024,19:55,11/11/2024,19:55,,,Assault (Aggravated),13A,Aggravated Assault,535,1100  E 117TH ST,KANSAS CITY,64131,PJ7204,SPD,false,VIC,B,F,31,true,POINT (-94.57651 38.91435),25-34
KC24084630,11/11/2024,19:55,11/11/2024,19:55,,,Assault (Aggravated),13A,Aggravated Assault,535,1100  E 117TH ST,KANSAS CITY,64131,PJ7204,SPD,false,ARR CHA INA SUS,B,F,23,true,POINT (-94.57651 38.91435),18-24
KC24084523,11/11/2024,12:05,11/11/2024,12:05,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,999,10200  E 96TH ST,LEES SUMMIT,64134,,OSPD,true,VIC,B,F,24,true,POINT (-94.46233 38.94806),18-24
KC24084523,11/11/2024,12:05,11/11/2024,12:05,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,999,10200  E 96TH ST,LEES SUMMIT,64134,,OSPD,true,SUS,B,M,30,true,POINT (-94.46233 38.94806),25-34
KC24084429,11/11/2024,06:00,11/11/2024,06:00,,,Robbery (Armed Street),120,Robbery,123,E 25TH ST and VINE ST,KANSAS CITY,64108,PJ1984,CPD,false,SUS,U,M,,true,POINT (-94.56386 39.08107),
KC24084429,11/11/2024,06:00,11/11/2024,06:00,,,Robbery (Armed Street),120,Robbery,123,E 25TH ST and VINE ST,KANSAS CITY,64108,PJ1984,CPD,false,VIC,W,M,39,true,POINT (-94.56386 39.08107),35-44
KC24084357,11/10/2024,18:50,11/10/2024,18:50,,,Assault (Aggravated),13A,Aggravated Assault,112,E 12TH ST and GRAND BLVD,KANSAS CITY,64106,PJ1022,CPD,false,SUS,B,F,24,true,POINT (-94.58092 39.09984),18-24
KC24084357,11/10/2024,18:50,11/10/2024,18:50,,,Assault (Aggravated),13A,Aggravated Assault,112,E 12TH ST and GRAND BLVD,KANSAS CITY,64106,PJ1022,CPD,false,VIC,B,F,21,true,POINT (-94.58092 39.09984),18-24
KC24084377,11/10/2024,08:00,11/09/2024,08:00,,,Robbery (Armed Street),120,Robbery,131,4000  W WASHINGTON ST,KANSAS CITY,,,CPD,false,CMP VIC,W,F,51,true,POINT (-94.5916 39.05491),45-54
KC24084377,11/10/2024,08:00,11/09/2024,08:00,,,Robbery (Armed Street),120,Robbery,131,4000  W WASHINGTON ST,KANSAS CITY,,,CPD,false,SUS,B,M,20,true,POINT (-94.5916 39.05491),18-24
KC24084360,11/10/2024,18:00,11/09/2024,18:00,,,Robbery (Armed Street),120,Robbery,111,W 12TH ST and MULBERRY ST,KANSAS CITY,64101,PJ1085,CPD,false,SUS,W,M,30,true,POINT (-94.59984 39.10054),25-34
KC24084360,11/10/2024,18:00,11/09/2024,18:00,,,Robbery (Armed Street),120,Robbery,111,W 12TH ST and MULBERRY ST,KANSAS CITY,64101,PJ1085,CPD,false,VIC,W,M,25,true,POINT (-94.59984 39.10054),25-34
KC24084297,11/10/2024,13:25,11/10/2024,13:25,,,Robbery (Residential),120,Robbery,322,1600  JACKSON AVE,KANSAS CITY,64127,PJ1473,EPD,false,SUS,B,F,39,true,POINT (-94.53328 39.09308),35-44
KC24084297,11/10/2024,13:25,11/10/2024,13:25,,,Robbery (Residential),120,Robbery,322,1600  JACKSON AVE,KANSAS CITY,64127,PJ1473,EPD,false,VIC,B,M,62,true,POINT (-94.53328 39.09308),55-64
KC24084293,11/10/2024,13:06,11/10/2024,13:06,,,Murder,13A,Aggravated Assault,341,BENNINGTON AVE and E TRUMAN RD,KANSAS CITY,64126,PJ1386,EPD,false,VIC DEC,W,M,,true,POINT (-94.50556 39.09376),
KC24084293,11/10/2024,13:06,11/10/2024,13:06,,,Murder,09A,Murder,341,BENNINGTON AVE and E TRUMAN RD,KANSAS CITY,64126,PJ1386,EPD,false,VIC DEC,W,M,41,true,POINT (-94.50556 39.09376),35-44
KC24084293,11/10/2024,13:06,11/10/2024,13:06,,,Murder,13A,Aggravated Assault,341,BENNINGTON AVE and E TRUMAN RD,KANSAS CITY,64126,PJ1386,EPD,false,VIC DEC,W,M,41,true,POINT (-94.50556 39.09376),35-44
KC24084293,11/10/2024,13:06,11/10/2024,13:06,,,Murder,13A,Aggravated Assault,341,BENNINGTON AVE and E TRUMAN RD,KANSAS CITY,64126,PJ1386,EPD,false,VIC,W,F,23,true,POINT (-94.50556 39.09376),18-24
KC24084293,11/10/2024,13:06,11/10/2024,13:06,,,Murder,09A,Murder,341,BENNINGTON AVE and E TRUMAN RD,KANSAS CITY,64126,PJ1386,EPD,false,VIC DEC,W,M,,true,POINT (-94.50556 39.09376),
KC24084293,11/10/2024,13:06,11/10/2024,13:06,,,Murder,09A,Murder,341,BENNINGTON AVE and E TRUMAN RD,KANSAS CITY,64126,PJ1386,EPD,false,VIC,W,F,23,true,POINT (-94.50556 39.09376),18-24
KC24084284,11/10/2024,12:00,11/10/2024,12:00,,,Robbery (Armed Street),120,Robbery,121,1900  INDEPENDENCE BLVD,KANSAS CITY,64124,PJ0544,CPD,false,ARR CHA SUS,B,M,,true,POINT (-94.55815 39.10672),
KC24084284,11/10/2024,12:00,11/10/2024,12:00,,,Robbery (Armed Street),120,Robbery,121,1900  INDEPENDENCE BLVD,KANSAS CITY,64124,PJ0544,CPD,false,VIC,W,M,34,true,POINT (-94.55815 39.10672),25-34
KC24084284,11/10/2024,12:00,11/10/2024,12:00,,,Robbery (Armed Street),120,Robbery,121,1900  INDEPENDENCE BLVD,KANSAS CITY,64124,PJ0544,CPD,false,SUS,B,M,,true,POINT (-94.55815 39.10672),
KC24084272,11/10/2024,11:04,11/10/2024,11:04,,,Robbery (Armed Street),120,Robbery,233,8200  PASEO,KANSAS CITY,64131,PJ5995,MPD,false,VIC,B,F,26,true,POINT (-94.56764 38.97876),25-34
KC24084272,11/10/2024,11:04,11/10/2024,11:04,,,Robbery (Armed Street),120,Robbery,233,8200  PASEO,KANSAS CITY,64131,PJ5995,MPD,false,SUS,B,M,,true,POINT (-94.56764 38.97876),
KC24084261,11/10/2024,08:46,11/10/2024,08:46,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,543,11400  RICHMOND AVE,KANSAS CITY,64134,PJ7169,SPD,false,SUS,B,M,23,true,POINT (-94.50097 38.91786),18-24
KC24084261,11/10/2024,08:46,11/10/2024,08:46,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,543,11400  RICHMOND AVE,KANSAS CITY,64134,PJ7169,SPD,false,VIC,B,M,29,true,POINT (-94.50097 38.91786),25-34
KC24084198,11/09/2024,22:09,11/09/2024,22:09,,,Robbery (Armed Street),120,Robbery,332,3400  PROSPECT AVE,KANSAS CITY,64128,PJ2801,EPD,false,VIC,B,M,64,true,POINT (-94.55313 39.06433),55-64
KC24084198,11/09/2024,22:09,11/09/2024,22:09,,,Robbery (Armed Street),120,Robbery,332,3400  PROSPECT AVE,KANSAS CITY,64128,PJ2801,EPD,false,SUS,B,M,,true,POINT (-94.55313 39.06433),
KC24084190,11/09/2024,20:15,11/09/2024,20:15,,,Robbery (Armed Street),120,Robbery,344,5900  E 40TH TER,KANSAS CITY,64129,PJ3374,EPD,false,VIC,B,M,21,true,POINT (-94.5155 39.05134),18-24
KC24084190,11/09/2024,20:15,11/09/2024,20:15,,,Robbery (Armed Street),120,Robbery,344,5900  E 40TH TER,KANSAS CITY,64129,PJ3374,EPD,false,SUS,B,M,,true,POINT (-94.5155 39.05134),
KC24084185,11/09/2024,19:59,11/09/2024,19:59,,,Assault (Aggravated),13A,Aggravated Assault,533,11400  OAK ST,KANSAS CITY,64114,,SPD,false,SUS,U,U,,true,POINT (-94.58854 38.9197),
KC24084185,11/09/2024,19:59,11/09/2024,19:59,,,Assault (Aggravated),13A,Aggravated Assault,533,11400  OAK ST,KANSAS CITY,64114,,SPD,false,VIC,B,M,28,true,POINT (-94.58854 38.9197),25-34
KC24084185,11/09/2024,19:59,11/09/2024,19:59,,,Assault (Aggravated),13A,Aggravated Assault,533,11400  OAK ST,KANSAS CITY,64114,,SPD,false,VIC,B,M,25,true,POINT (-94.58854 38.9197),25-34
KC24084175,11/09/2024,18:35,11/09/2024,18:35,,,Murder,09A,Murder,241,3600  E 69TH ST,KANSAS CITY,64132,PJ5325,MPD,false,VIC DEC,B,M,39,true,POINT (-94.54492 39.00111),35-44
KC24084175,11/09/2024,18:35,11/09/2024,18:35,,,Murder,09A,Murder,241,3600  E 69TH ST,KANSAS CITY,64132,PJ5325,MPD,false,ARR CHA SUS,B,F,,true,POINT (-94.54492 39.00111),
KC24084168,11/09/2024,17:59,11/09/2024,17:59,,,Murder,09A,Murder,124,2700  GARFIELD AVE,KANSAS CITY,64109,PJ2246,CPD,false,VIC DEC,W,M,27,true,POINT (-94.55834 39.07717),25-34
KC24084168,11/09/2024,17:59,11/09/2024,17:59,,,Murder,09A,Murder,124,2700  GARFIELD AVE,KANSAS CITY,64109,PJ2246,CPD,false,ARR CHA INA SUS,B,M,25,true,POINT (-94.55834 39.07717),25-34
KC24084045,11/09/2024,06:26,11/09/2024,06:26,,,Assault (Aggravated),13A,Aggravated Assault,636,9600  NE PARVIN RD,KANSAS CITY,64161,PC1040,SCP,false,SUS,W,M,,true,POINT (-94.46145 39.17265),
KC24084045,11/09/2024,06:26,11/09/2024,06:26,,,Assault (Aggravated),13A,Aggravated Assault,636,9600  NE PARVIN RD,KANSAS CITY,64161,PC1040,SCP,false,CMP VIC,W,M,61,true,POINT (-94.46145 39.17265),55-64
KC24084015,11/09/2024,00:40,11/09/2024,00:40,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,414,7800  N OREGON AVE,KANSAS CITY,64151,PP0454,NPD,false,VIC,,M,18,true,POINT (-94.63444 39.23615),18-24
KC24084015,11/09/2024,00:40,11/09/2024,00:40,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,414,7800  N OREGON AVE,KANSAS CITY,64151,PP0454,NPD,false,VIC,W,M,53,true,POINT (-94.63444 39.23615),45-54
KC24084015,11/09/2024,00:40,11/09/2024,00:40,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,414,7800  N OREGON AVE,KANSAS CITY,64151,PP0454,NPD,false,SUS,U,F,18,true,POINT (-94.63444 39.23615),18-24
KC24084015,11/09/2024,00:40,11/09/2024,00:40,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,414,7800  N OREGON AVE,KANSAS CITY,64151,PP0454,NPD,false,SUS,U,M,18,true,POINT (-94.63444 39.23615),18-24
KC24084000,11/08/2024,22:00,11/08/2024,22:00,,,Assault (Aggravated),13A,Aggravated Assault,131,3300  WYOMING ST,KANSAS CITY,,,CPD,false,VIC,B,F,21,true,POINT (-94.60407 39.06739),18-24
KC24084000,11/08/2024,22:00,11/08/2024,22:00,,,Assault (Aggravated),13A,Aggravated Assault,131,3300  WYOMING ST,KANSAS CITY,,,CPD,false,VIC,B,M,21,true,POINT (-94.60407 39.06739),18-24
KC24084000,11/08/2024,22:00,11/08/2024,22:00,,,Assault (Aggravated),13A,Aggravated Assault,131,3300  WYOMING ST,KANSAS CITY,,,CPD,false,SUS,U,M,,true,POINT (-94.60407 39.06739),
KC24083972,11/08/2024,20:25,11/08/2024,20:25,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,222,5500  GARFIELD AVE,KANSAS CITY,64130,PJ4438,MPD,true,VIC,B,F,25,true,POINT (-94.56102 39.0266),25-34
KC24083972,11/08/2024,20:25,11/08/2024,20:25,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,222,5500  GARFIELD AVE,KANSAS CITY,64130,PJ4438,MPD,true,SUS,B,M,29,true,POINT (-94.56102 39.0266),25-34
